region;municipality_up_name;municipality_down_name;settlement_name;settlement_name_sep;type;arctic;remote;special;suburb;pop_men;pop_women;pop_total;latitude;longitude;mun_oktmo;sett_oktmo;wage_average;social_share;kindergarden_salary;school_salary;culture_salary;housing_depreciation;emergency_housing;building_construction_space;families_improve;space_per_capita;dtp_deaths_norm;dtp_injury_norm;primary_avaiability;dentists;terapists;pediatricians;support_staff;comments_health_perc;aviation_sun;aviation_center;death_rate;natural_growth;sport_facilities;sport_halls;sport_pools;sport_stadiums;sport_gym;cinemas;libraries;theatres;culture_centers;catering;improving_facilities;disabled_transport;disabled_buildings;lighting;kindergardens_availability;certificate_fail;russian_oge;math_oge;russian_ege;math_ege_base;math_ege_plus;spendings_per_schoolar;additional_education;ecology_spending;ecology_projects;emissions_all;emissions_first;emissions_second;comments_eco_perc;ecology_polygon;investments_per_capita;retail_federal;loss_results;gain_results;unemployed;revenue_per_capita;profit_bt_per_capita;vacancies;grocery store_norm;pvz_norm;nomadic_education_primary;nomadic_education_main;nomadic_education_high;nomadic_ngo;nomadic_language;nomadic_support;nomadic_firms;2.1.2_healthcare_new;2.1.3_housing_new;2.1.4_sports_new;2.1.7_public_spaces_new;2.1.8_education_new;2.2.1_air_quality_new;2.3.5_suitability_indigenous_binary_new;2.7_crime_experience_binary_new
Ханты-Мансийский автономный округ - Югра;Октябрьский муниципальный район;Городское поселение Талинка;пгт Талинка;пгт Талинка (Ханты-Мансийский автономный округ - Югра);пгт;FALSE;TRUE;0;FALSE;1637;1696;3333;61.550831;66.448745;71821000;71821157051;4,56;21,9;2,69;3,45;3,23;61,02;56,52;1,27;9,00;26,11;0,00;0,00;1,0;0,00;0,60;0,60;5,10;1,67;1,0;0,0;12,1;-1,9;3,0;1,5;0,3;0,0;0,6;0,0;0,3;0,3;0,3;1,2;83,4;0,0;100,0;80,2;56,7;0,9;4,1;3,4;64,2;4,1;52,0;0,01;92,4;44,6;0,0;301,7;0,1;0,2;0;0,0;24,0;1,0;5,9;21,2;8,3;414,5;16,6;5,2;4,8;1,2;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,9;3,2;3,4;3,4;3,5;3,7;0,9;0,3
Архангельская область;Ленский муниципальный район;Городское поселение Урдомское;рп Урдома;рп Урдома (Архангельская область);рп;FALSE;FALSE;ОНП;FALSE;1923;2119;4042;61.754719;48.542898;11635000;11635157051;3,38;33,4;1,80;3,14;2,04;32,43;5,48;5,26;13,85;39,10;0,74;4,70;1,0;0,49;0,49;0,49;7,92;6,39;1,0;1,0;17,8;-9,1;1,7;1,7;0,2;0,0;0,2;0,0;0,2;0,0;0,2;2,0;0,0;0,0;0,0;70,0;88,6;0,2;3,9;3,6;67,9;4,3;56,1;0,01;62,1;5,2;0,0;57358,1;0,1;0,2;11,42;0,0;1,6;1,0;1,9;6,8;18,0;106,7;30,1;24,0;5,4;1,7;0,00;0,00;0,00;;;;;;;;;;;;
Ханты-Мансийский автономный округ - Югра;Советский муниципальный район;Городское поселение Агириш;пгт Агириш;пгт Агириш (Ханты-Мансийский автономный округ - Югра);пгт;FALSE;FALSE;0;FALSE;784;854;1638;61.92808;63.012697;71824000;71824152051;3,66;32,5;3,00;3,22;2,64;71,58;48,43;0,01;33,58;33,28;0,61;10,99;0,5;0,61;0,61;0,61;8,55;0;0,0;0,0;12,5;-2,8;0,6;1,2;0,0;0,6;2,4;0,6;0,6;0,0;0,6;0,6;534,2;0,0;10,0;79,0;71,8;0,0;3,8;3,4;68,1;4,5;61,8;0,01;86,0;9,3;0,0;88,0;0,1;0,0;6,25;1,0;10,2;1,0;11,1;23,0;21,1;88,7;-5,3;12,2;6,1;1,2;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,2;3,1;3,4;2,9;3,3;3,3;0,8;0,4
Республика Саха (Якутия);Мирнинский муниципальный район;Городское поселение Поселок Светлый;пгт Светлый;пгт Светлый (Республика Саха (Якутия));пгт;FALSE;FALSE;ПНП;FALSE;1562;1580;3142;63.050169;113.428388;98631000;98631157051;5,43;13,9;;4,10;3,73;77,08;51,28;0,00;4,14;171,50;0,00;0,32;1,0;0,32;1,27;0,00;6,37;3,33;0,0;0,0;7,8;2,7;0,0;0,3;0,3;0,0;0,3;0,0;0,3;0,0;0,3;1,3;321,5;0,0;30,0;90,0;71,0;0,0;3,8;3,1;61,0;3,8;32,8;0,01;72,0;63,7;1,0;483,8;0,1;0,0;5;0,0;19,0;1,0;16,1;1047,1;5,5;6,7;0,9;29,5;2,2;0,6;0,00;0,00;0,00;;;;;;;;;;;;
Республика Карелия;Муезерский муниципальный район;Муезерское городское поселение;пгт Муезерский;пгт Муезерский (Республика Карелия);пгт;FALSE;FALSE;ОНП;FALSE;1166;1438;2604;63.961563;31.998501;86627000;86627151051;2,20;56,3;2,44;2,36;1,74;39,29;11,27;0,39;4,99;55,89;0,00;0,77;0,0;0,38;0,38;0,38;8,83;11,23;1,0;0,0;24,9;-18,0;1,5;0,8;0,0;0,0;0,0;0,4;0,4;0,0;0,4;1,2;3377,1;0,0;71,0;86,0;71,0;2,0;2,8;2,6;58,2;2,8;48,0;0,00;74,5;0,1;0,0;272,3;0,0;0,0;8,02;1,0;0,1;1,0;1,3;4,6;10,2;157,7;1,9;39,8;6,5;1,2;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,1;2,9;3,7;3,3;3,3;3,5;0,9;0,3
Ямало-Ненецкий автономный округ;Муниципальный округ Приуральский район;Муниципальный округ Приуральский район;село Аксарка;село Аксарка (Ямало-Ненецкий автономный округ);село;TRUE;TRUE;0;FALSE;2078;2274;4352;66.55998;67.801242;71938000;71938000101;4,28;41;4,23;5,17;5,51;36,13;;3,25;34,93;28,50;0,00;1,84;1,0;0,69;2,07;1,15;25,97;15,5;1,0;0,0;8,8;8,5;0,0;0,5;0,0;0,0;0,5;0,2;0,5;0,0;0,2;0,7;2643,2;0,0;100,0;100,0;63,3;0,2;3,5;3,5;60,8;4,3;57,4;0,01;88,4;4,9;1,0;221,2;0,0;0,2;4,8;0,0;2,4;1,0;23,7;14,8;20,3;265,5;32,2;288,8;3,9;1,1;0,00;0,00;0,00;0,23;73,76;4,19;3,22;;;;;;;;
Чукотский автономный округ;Городской округ Провидения;Городской округ Провидения;пгт Провидения;пгт Провидения (Чукотский автономный округ);пгт;TRUE;TRUE;0;FALSE;1027;1113;2140;64.428694;-173.217673;77710000;77710000051;3,54;24,1;3,74;4,53;3,82;;;1,19;24,77;23,01;0,47;1,40;0,0;;;;;16,24;1,0;0,0;13,8;-3,9;0,5;2,8;0,5;0,0;0,5;0,0;1,9;0,0;1,9;4,2;0,0;0,0;0,0;7,6;82,7;0,0;4,4;4,4;67,4;4,4;41,6;0,02;92,5;1,4;1,0;97,3;0,0;0,4;5,08;0,0;0,3;0,0;5,3;7,7;27,7;142,3;-8,6;88,2;3,3;0,0;0,00;0,00;0,00;3,74;0,00;31,35;;;;;;;;;
Республика Карелия;Медвежьегорский муниципальный район;Повенецкое городское поселение;пгт Повенец;пгт Повенец (Республика Карелия);пгт;FALSE;FALSE;ПНП;TRUE;828;984;1812;62.848573;34.823774;86624000;86624160051;2,79;41,7;2,48;2,40;1,55;43,06;25,76;0,00;0,55;39,30;0,55;1,10;1,0;0,00;0,55;0,00;3,86;6,67;0,0;0,0;24,0;-16,1;1,1;1,1;0,0;0,6;0,6;0,0;0,6;0,6;0,6;0,6;14166,7;2,0;7,0;85,0;100,0;0,0;3,0;3,0;58,6;4,2;39,6;0,01;87,7;0,5;1,0;220,8;0,0;0,0;23,33;0,0;0,4;1,0;14,5;22,2;9,2;9,8;0,1;7,5;8,8;1,1;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;
Республика Коми;Городской округ Ухта;Городской округ Ухта;пгт Шудаяг;пгт Шудаяг (Республика Коми);пгт;FALSE;FALSE;0;TRUE;1304;1658;2962;63.529527;53.6068137;87525000;87525000066;3,97;22,2;2,22;2,45;;22,54;8,11;0,51;;22,10;0,00;5,06;1,0;0,00;0,68;0,00;0,68;19,75;1,0;0,0;13,2;-4,7;1,7;0,3;0,0;0,0;0,0;0,0;0,3;0,0;0,7;0,3;;;;90,0;2,3;11,1;3,7;3,3;48,9;4,3;42,5;0,01;0,4;10,3;0,0;170,2;0,0;2,9;1,23;0,0;13,5;1,0;34,3;115,8;2,8;111000,1;3140,6;52,3;5,1;1,4;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
Ханты-Мансийский автономный округ - Югра;Нефтеюганский муниципальный район;Городское поселение Пойковский;пгт Пойковский;пгт Пойковский (Ханты-Мансийский автономный округ - Югра);пгт;FALSE;FALSE;0;FALSE;11900;12540;24440;60.996037;71.904443;71818000;71818157051;4,65;12,3;3,15;3,68;2,76;25,26;44,96;3,01;15,43;15,19;0,00;1,96;1,0;0,57;0,74;0,41;10,27;7,58;1,0;0,0;5,7;2,7;0,3;0,3;0,0;0,0;0,1;0,0;0,1;0,0;0,0;1,0;550,5;100,0;75,8;92,8;84,7;0,0;4,2;3,5;71,3;4,4;61,3;0,01;87,9;76,2;1,0;291,0;0,0;0,5;9,95;0,0;164,0;1,0;27,5;24,8;0,8;918,1;29,4;218,5;2,2;0,7;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,7;2,6;2,5;2,5;2,8;3,5;0,8;0,1
Республика Коми;Городской округ Сыктывкар;Городской округ Сыктывкар;пгт Верхняя Максаковка;пгт Верхняя Максаковка (Республика Коми);пгт;FALSE;FALSE;0;TRUE;1733;2044;3777;61.63247869;50.967111522;87701000;87701000056;3,08;26,6;2,23;2,77;;27,72;34,31;9,38;;;0,26;2,91;1,0;0,26;0,53;0,53;2,12;7,53;0,0;0,0;12,1;-2,7;0,3;0,0;0,0;0,3;0,0;0,0;0,3;0,0;0,3;0,3;0,0;0,0;;;1,4;2,4;3,5;3,4;56,9;3,9;53,7;0,01;1,5;6,5;0,0;123,1;0,0;0,1;16,13;1,0;3,2;1,0;19,1;156,7;7,8;32687,1;2593,2;15,2;2,6;0,8;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
Ханты-Мансийский автономный округ - Югра;Октябрьский муниципальный район;Городское поселение Андра;пгт Андра;пгт Андра (Ханты-Мансийский автономный округ - Югра);пгт;FALSE;TRUE;0;FALSE;1004;1011;2015;62.517451;65.881656;71821000;71821153051;4,56;21,9;2,79;3,75;2,99;41,45;8,51;0,45;0,99;26,32;0,50;0,50;1,0;0,50;0,50;0,50;1,99;1,33;1,0;0,0;12,1;-1,9;1,5;2,0;0,5;0,0;0,5;0,5;0,5;1,0;1,0;1,5;1689,3;0,0;100,0;96,4;75,5;0,0;4,2;3,5;75,9;4,4;61,5;0,01;92,0;44,6;0,0;82422,8;0,0;0,2;4;0,0;24,0;1,0;5,9;21,2;2,5;5,7;-2,2;7,2;8,4;1,5;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;
Ханты-Мансийский автономный округ - Югра;Ханты-Мансийский муниципальный район;Сельское поселение Горноправдинск;посёлок Горноправдинск;посёлок Горноправдинск (Ханты-Мансийский автономный округ - Югра);поселок;FALSE;FALSE;0;FALSE;2203;2339;4542;60.060776;69.927953;71829000;71829406101;4,70;9,8;3,11;3,65;2,84;17,91;40,48;1,39;;26,10;0,00;2,20;1,0;1,32;1,54;0,44;18,93;2;1,0;0,0;10,7;-1,8;0,9;1,1;0,2;0,0;0,0;0,0;0,2;0,0;0,2;2,0;258,3;0,0;100,0;23,7;61,5;3,0;3,9;3,3;63,5;4,0;49,8;0,02;85,0;100,5;0,0;63,9;0,0;0,1;14;0,0;468,5;1,0;10,5;17,5;13,7;424,4;-1124,1;40,3;2,6;1,1;0,00;0,00;0,00;0,22;0,00;61,97;0,66;;;;;;;;
Ямало-Ненецкий автономный округ;Муниципальный округ Пуровский район;Муниципальный округ Пуровский район;поселок Ханымей;поселок Ханымей (Ямало-Ненецкий автономный округ);поселок;TRUE;TRUE;0;FALSE;1649;1788;3437;63.723857;75.96123;71940000;71940000136;5,81;5,8;4,30;5,08;5,00;28,75;23,17;0,68;95,14;;0,00;0,00;1,0;1,16;1,16;0,58;10,77;26,1;1,0;0,0;5,5;7,6;1,2;0,3;0,3;0,3;0,6;0,0;0,3;0,3;0,0;1,5;7135,0;;100,0;93,0;78,4;0,0;4,2;3,8;70,5;4,3;61,0;0,02;49,0;100,4;1,0;43,7;0,0;0,0;13,0;0,0;310,6;1,0;19,0;8588,1;2,8;106,9;0,7;8,3;4,1;1,2;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;
Красноярский край;Северо-Енисейский муниципальный район;Северо-Енисейский муниципальный район;Северо-Енисейский гп;Северо-Енисейский гп (Красноярский край);пгт;FALSE;FALSE;ПНП;FALSE;3083;3084;6167;60.3789250;93.0363628;04649000;04649000051;5,92;6,1;3,05;4,06;4,14;31,52;3,09;1,11;10,05;26,04;0,00;1,78;1,0;0,81;1,30;0,65;13,78;6,33;1,0;0,0;12,5;-2,4;3,7;1,8;0,3;0,6;1,1;0,0;1,3;0,2;1,3;2,3;4524,1;10,0;4,6;100,0;79,0;1,3;3,5;3,4;59,2;3,9;51,5;0,01;93,9;228,5;0,5;1062,2;0,0;17,9;12,95;0,0;136,0;0,0;1177,9;22746,3;4,6;4623,6;1119,0;132,8;2,1;0,8;0,00;0,00;0,00;;;0,00;0,00;;;;;;;;
Мурманская область;Кольский муниципальный район;Городское поселение Верхнетуломский;пгт Верхнетуломский;пгт Верхнетуломский (Мурманская область);пгт;TRUE;FALSE;ОНП;FALSE;623;697;1320;68.607305;31.798575;47605000;47605154051;4,27;9,20;2,61;3,49;2,66;20,86;0,00;0,00;6,06;34,15;0,00;1,52;0,5;0,00;0,76;0,0;3,8;8,2;0,0;0,0;15,6;-7,8;2,3;0,8;0,0;0,0;0,8;0,0;0,8;0,0;0,8;0,8;;;;;;3,3;3,7;3,5;64,6;4,00;47,6;0,0;1,9;15,4;1,0;236,5;0,0;1,0;11,48;0,0;82,4;1,0;13,2;156,7;17,3;1796,6;35,9;10,8;2,3;1,5;1,00;1,00;1,00;0,00;0,00;0,0;0,0;;;;;;;;
Ханты-Мансийский автономный округ - Югра;Октябрьский муниципальный район;Городское поселение Октябрьское;пгт Октябрьское;пгт Октябрьское (Ханты-Мансийский автономный округ - Югра);пгт;FALSE;TRUE;0;FALSE;1799;1993;3792;62.460037;66.044957;71821000;71821151051;4,56;21,9;3,46;3,54;3,21;50,79;20,00;0,81;1,85;34,52;0,00;1,85;0,5;0,79;2,37;0,53;29,01;5,88;1,0;0,0;12,1;-1,9;2,1;2,1;0,3;0,3;0,5;0,3;0,5;0,3;0,3;1,1;0,0;0,0;100,0;96,1;74,4;0,3;3,8;3,4;63,4;3,9;54,3;0,01;92,5;44,6;0,0;178,0;0,0;0,3;1,96;0,0;24,0;1,0;5,9;21,2;13,3;70,7;-0,5;57,7;6,3;1,3;0,00;0,00;0,00;0,00;0,00;25,43;0,00;;;;;;;;
Республика Коми;Муниципальный район Усть-Вымский;Сельское поселение Айкино;село Айкино;село Айкино (Республика Коми);село;FALSE;FALSE;ОНП;FALSE;1453;1739;3192;62.2229021;49.9944498;87644000;87644405101;2,76;32,6;1,80;2,27;;19,49;37,82;3,70;5,33;42,67;0,00;0,94;1,0;0,94;1,25;0,94;26,94;9,93;1,0;0,0;17,3;-8,4;1,3;1,3;0,0;0,0;0,3;0,0;0,3;0,0;0,0;0,3;;0,0;;100,0;13,4;0,0;3,6;3,4;63,6;4,4;58,7;0,00;17,0;5,5;0,0;33,8;0,0;0,1;2,21;1,0;2,3;1,0;5,0;51,3;8,9;245,7;24,7;71,3;6,0;1,9;0,00;0,00;0,00;0,00;0,00;0,00;;3,6;3,1;3,1;2,9;3,1;3,1;1,0;0,0
Ханты-Мансийский автономный округ - Югра;Кондинский муниципальный район;Городское поселение Луговой;пгт Луговой;пгт Луговой (Ханты-Мансийский автономный округ - Югра);пгт;FALSE;TRUE;0;FALSE;764;825;1589;59.722148;65.88607;71816000;71816157051;3,93;29,9;2,45;3,28;1,90;12,00;0,00;1,80;23,29;28,98;0,63;0,63;1,0;0,63;1,26;0,63;9,44;3,7;1,0;0,0;13,8;-4,0;3,8;1,3;0,0;0,0;0,0;0,0;0,6;0,0;0,6;0,0;2533,7;0,0;98,0;94,3;42,9;0,0;3,7;3,3;62,6;4,2;48,5;0,01;87,6;15,8;0,0;71,6;0,0;3,8;5,56;0,0;79,4;0,0;5,8;7,0;24,3;34,4;6,1;6,2;6,3;1,3;0,00;0,00;0,00;0,63;0,00;19,87;0,63;3,1;3,1;3,5;3,0;3,7;3,4;0,9;0,2
Ханты-Мансийский автономный округ - Югра;Кондинский муниципальный район;Городское поселение Кондинское;пгт Кондинское;пгт Кондинское (Ханты-Мансийский автономный округ - Югра);пгт;FALSE;TRUE;0;FALSE;1276;1414;2690;59.653169;67.415294;71816000;71816151051;3,93;29,9;2,95;3,37;2,19;73,28;61,11;1,11;23,42;37,68;0,00;2,60;1,0;0,37;0,37;0,00;9,29;5,22;1,0;0,0;13,8;-4,0;0,7;0,7;0,0;0,0;0,0;0,4;0,7;0,0;0,4;0,4;2193,3;0,0;100,0;100,0;64,8;0,4;4,1;3,4;63,8;4,2;61,9;0,01;87,9;15,8;1,0;19,2;0,0;0,1;11,94;0,0;79,4;1,0;5,8;7,0;27,3;131,0;-3,5;4,7;8,6;0,0;0,00;0,00;0,00;0,74;0,00;2,28;0,00;;;;;;;;
Ямало-Ненецкий автономный округ;Муниципальный округ Надымский район;Муниципальный округ Надымский район;пгт Заполярный;пгт Заполярный (Ямало-Ненецкий автономный округ);пгт;TRUE;FALSE;0;FALSE;609;417;1026;66.45254;73.862198;71936000;71936000052;6,91;13,1;4,80;5,42;4,81;19,27;0,00;0,00;5,85;24,93;0,00;0,00;0,5;0,00;0,97;0,00;4,87;4,4;1,0;0,0;4,7;6,3;1,0;2,9;0,0;0,0;1,0;0,0;1,0;0,0;1,9;0,0;623,8;0,0;87,5;53,8;71,7;0,0;4,1;3,9;68,1;4,7;61,1;0,02;1,4;47,3;1,0;43,4;0,0;0,1;9,2;0,0;25,7;0,0;67,6;458,9;1,1;22,6;5,2;2,5;3,9;1,0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;
Республика Саха (Якутия);Мирнинский муниципальный район;Городское поселение Поселок Алмазный;пгт Алмазный;пгт Алмазный (Республика Саха (Якутия));пгт;FALSE;FALSE;ПНП;FALSE;790;859;1649;62.450348;114.326863;98631000;98631155051;5,43;13,9;;4,76;4,14;59,68;54,48;0,00;5,46;24,09;0,00;0,61;1,0;0,00;0,61;0,61;4,85;1,59;0,0;0,0;7,8;2,7;0,6;0,6;0,0;0,0;0,6;0,0;0,6;0,0;0,6;0,6;374,8;0,0;20,0;100,0;75,1;0,0;3,8;3,1;63,7;3,8;49,2;0,01;;63,7;1,0;51,3;0,0;0,0;11,11;0,0;19,0;0,0;16,1;1047,1;8,0;7,6;0,4;14,5;2,4;0,6;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;
Чукотский автономный округ;Городской округ Эгвекинот;Городской округ Эгвекинот;пгт Эгвекинот;пгт Эгвекинот (Чукотский автономный округ);пгт;TRUE;TRUE;0;FALSE;1548;1565;3113;66.3235501;179.1194158;77715000;77715000051;3,80;20,1;3,29;4,05;3,85;;;0,00;40,15;23,76;0,00;0,00;1,0;0,64;2,25;0,64;23,13;9,17;1,0;1,0;9,1;0,4;2,6;3,2;0,0;0,0;0,6;0,0;0,3;0,0;0,3;1,6;0,0;0,0;0,0;76,0;81,4;0,6;3,2;3,0;66,4;4,2;50,4;0,02;59,4;2,8;0,0;13,8;0,0;0,0;1,75;0,0;2,0;0,0;172,6;118,0;21,6;0,0;0,0;96,0;4,2;0,0;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;
Ханты-Мансийский автономный округ - Югра;Нижневартовский муниципальный район;Городское поселение Новоаганск;пгт Новоаганск;пгт Новоаганск (Ханты-Мансийский автономный округ - Югра);пгт;FALSE;FALSE;0;FALSE;4416;4700;9116;61.946699;76.669873;71819000;71819156051;4,28;9,3;3,09;3,54;3,52;47,19;0,00;0,93;10,53;15,65;0,00;0,77;1,0;0,33;0,44;0,22;7,35;6,25;1,0;0,0;7,6;1,1;0,8;0,9;0,2;0,0;0,2;0,1;0,2;0,1;0,1;0,7;0,0;100,0;30,0;30,0;87,7;0,9;4,1;3,4;65,6;4,1;63,3;0,01;89,2;90,7;0,0;62,1;0,0;0,0;12,5;0,0;201,2;1,0;9,6;155,2;2,4;253,1;-11,3;11,3;2,1;0,3;0,00;0,00;0,00;0,00;0,00;0,21;0,44;;;;;;;;
Республика Саха (Якутия);Городской округ Город Якутск;Городской округ Город Якутск;село Хатассы;село Хатассы (Республика Саха (Якутия));село;FALSE;FALSE;0;TRUE;2584;2886;5470;61.905855;129.628636;98701000;98701000141;3,96;18,6;2,50;3,59;3,69;47,50;50,00;3,08;0,00;13,07;0,00;3,29;1,0;0,18;1,10;0,18;5,12;7,69;0,0;0,0;8,4;6,0;0,4;0,5;0,0;0,4;0,2;0,2;0,2;0,0;0,2;0,2;0,0;100,0;70,0;40,0;73,1;2,2;3,2;3,2;54,5;3,6;38,6;;78,2;4,5;0,0;76,2;0,0;1,6;0;0,0;4,4;0,0;55,8;116,5;;1346,9;-75,7;;1,3;0,0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,4;2,3;3,2;2,6;3,1;3,4;0,8;0,3
Ханты-Мансийский автономный округ - Югра;Советский муниципальный район;Городское поселение Таежный;пгт Таежный;пгт Таежный (Ханты-Мансийский автономный округ - Югра);пгт;FALSE;FALSE;0;FALSE;788;880;1668;61.161409;62.676933;71824000;71824159051;3,66;32,5;3,29;3,18;2,63;;18,18;3,43;85,13;33,96;0,00;0,60;0,5;0,00;0,60;0,00;1,20;1,28;0,0;0,0;12,5;-2,8;0,6;1,2;0,0;0,0;0,6;0,6;0,6;0,0;0,6;0,0;299,8;0,0;15,0;100,0;76,2;3,5;3,8;3,4;59,3;3,9;56,4;0,01;84,6;9,3;0,0;11,4;0,0;0,0;5,13;1,0;10,2;1,0;11,1;23,0;20,5;147,6;16,9;1,0;3,0;0,6;0,00;0,00;0,00;0,00;0,00;2,26;0,60;;;;;;;;
Ханты-Мансийский автономный округ - Югра;Советский муниципальный район;Городское поселение Коммунистический;пгт Коммунистический;пгт Коммунистический (Ханты-Мансийский автономный округ - Югра);пгт;FALSE;FALSE;0;FALSE;705;810;1515;61.680521;64.482638;71824000;71824155051;3,66;32,5;3,24;3,52;2,76;49,03;27,03;1,85;26,40;37,03;0,66;4,62;1,0;0,66;0,66;0,66;9,24;0;0,0;0,0;12,5;-2,8;2,0;1,3;0,0;0,0;0,7;0,7;0,7;0,0;0,7;0,0;838,9;0,0;15,0;90,8;75,9;2,1;4,1;3,5;59,6;3,8;54,3;0,01;84,8;9,3;0,0;11,9;0,0;0,0;25;1,0;10,2;1,0;11,1;23,0;21,1;163,9;7,3;13,3;8,6;1,3;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,2;2,1;2,1;2,1;2,6;2,6;1,0;0,4
Республика Коми;Муниципальный район Сосногорск;Городское поселение Войвож;пгт Войвож;пгт Войвож (Республика Коми);пгт;FALSE;FALSE;ПНП;FALSE;816;1029;1845;62.89436043;54.96360733;87626000;87626153051;3,31;32,3;2,13;2,34;;29,36;11,76;0,00;0,00;29,16;0,54;3,25;1,0;1,08;0,54;0,54;9,21;11,11;1,0;0,0;15,9;-8,2;3,8;1,6;0,5;0,5;1,1;0,0;0,5;0,5;0,5;1,1;1832,0;100,0;;100,0;2,0;0,0;4,0;3,5;58,7;4,0;64,8;0,01;4,3;11,0;0,0;45,2;0,0;0,0;3,7;0,0;5,1;1,0;5,3;7,4;30,4;110,9;7,7;9,8;2,2;1,6;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
Ханты-Мансийский автономный округ - Югра;Кондинский муниципальный район;Городское поселение Мортка;пгт Мортка;пгт Мортка (Ханты-Мансийский автономный округ - Югра);пгт;FALSE;FALSE;0;FALSE;1499;1734;3233;59.334941;66.024083;71816000;71816163051;3,93;29,9;2,84;3,21;2,14;51,80;58,33;1,26;20,11;26,07;0,00;1,55;1,0;0,31;0,62;0,31;6,50;2,08;0,0;0,0;13,8;-4,0;1,5;1,5;0,6;0,0;0,3;0,3;0,3;0,0;0,3;0,6;2829,6;0,0;100,0;62,3;64,4;0,9;4,1;3,6;65,1;4,4;53,7;0,01;87,7;15,8;1,0;28,6;0,0;0,3;16,67;1,0;79,4;1,0;5,8;7,0;26,7;260,1;-32,6;3,2;3,7;0,6;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;
Ханты-Мансийский автономный округ - Югра;Советский муниципальный район;Городское поселение Зеленоборск;пгт Зеленоборск;пгт Зеленоборск (Ханты-Мансийский автономный округ - Югра);пгт;FALSE;FALSE;0;FALSE;818;960;1778;61.473684;64.04633;71824000;71824153051;3,66;32,5;3,25;3,64;2,83;;18,60;2,60;46,68;26,91;0,00;0,56;0,5;0,56;0,56;0,56;7,87;0;0,0;0,0;12,5;-2,8;2,8;1,1;0,0;0,6;0,6;0,6;0,6;0,0;0,6;0,6;1237,3;0,0;15,0;100,0;74,6;0,0;4,0;3,5;65,2;4,6;72,4;0,01;84,6;9,3;1,0;4,3;0,0;0,0;5;1,0;10,2;1,0;11,1;23,0;14,2;375,5;31,6;1,0;2,2;1,7;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;
Республика Саха (Якутия);Усть-Янский муниципальный район;Городское поселение Поселок Депутатский;пгт Депутатский;пгт Депутатский (Республика Саха (Якутия));пгт;TRUE;FALSE;ОНП;FALSE;1215;1375;2590;69.340713;139.949957;98656000;98656151051;3,69;25,3;3,60;4,56;3,90;19,00;0,00;0,00;9,65;29,30;0,00;0,39;1,0;0,77;1,54;0,77;15,83;0;0,0;1,0;13,6;0,5;0,0;0,0;0,4;0,0;0,8;0,0;0,4;0,0;0,4;0,4;0,0;0,0;4,5;100,0;70,2;0,0;3,0;2,5;58,3;2,9;42,4;0,00;94,9;4,4;0,0;0,3;0,0;0,0;21,43;0,0;2,3;0,0;4,3;97,0;8,3;1102,0;106,2;4,2;3,5;0,0;0,00;0,00;0,00;1,54;0,00;18,52;0,00;;;;;;;;
